depth,width,num_parameters,R_test,eq_error,test_error
2,7,216,10,4.8822832107543945,8.031478881835938
2,7,216,20,20.209197998046875,46.55979919433594
2,7,216,40,90.30521392822266,232.26406860351562
2,8,262,5,1.4306799173355103,1.4615447521209717
2,8,262,10,5.055431842803955,7.802887439727783
2,8,262,20,17.452802658081055,44.29804992675781
2,8,262,40,63.835594177246094,207.5398406982422
2,9,312,5,1.45099937915802,1.26456880569458
2,9,312,10,4.8114542961120605,6.429555416107178
2,9,312,20,16.27157974243164,38.99285888671875
2,9,312,40,53.28089141845703,196.98403930664062
2,10,366,5,1.4287976026535034,1.2910822629928589
2,10,366,10,5.123920917510986,6.712302207946777
2,10,366,20,18.25741195678711,41.92081832885742
2,10,366,40,60.413734436035156,204.3937225341797
2,11,424,5,0.726549506187439,0.6369137763977051
2,11,424,10,3.922478199005127,4.749591827392578
2,11,424,20,19.343563079833984,36.28103256225586
2,11,424,40,76.95484924316406,198.11068725585938
2,12,486,5,0.8942958116531372,0.7314749956130981
2,12,486,10,4.585382461547852,5.213904857635498
2,12,486,20,22.70670509338379,38.53127670288086
2,12,486,40,90.02398681640625,209.06707763671875
2,13,552,5,0.48550769686698914,0.3807593882083893
2,13,552,10,3.267256259918213,3.6508982181549072
2,13,552,20,20.101770401000977,36.334659576416016
2,13,552,40,90.37310028076172,211.94126892089844
2,14,622,5,0.4564751088619232,0.35044804215431213
2,14,622,10,2.5377917289733887,3.4036500453948975
2,14,622,20,13.44851016998291,33.76459503173828
2,14,622,40,56.55379104614258,201.44094848632812
2,15,696,5,0.44342291355133057,0.3557647168636322
2,15,696,10,2.6961822509765625,3.060248851776123
2,15,696,20,15.45136547088623,31.324241638183594
2,15,696,40,65.79666137695312,190.32443237304688
2,16,774,5,0.3543708920478821,0.2637387812137604
2,16,774,10,2.1144142150878906,2.9213156700134277
2,16,774,20,12.118722915649414,31.548742294311523
2,16,774,40,49.7248649597168,193.22532653808594
2,17,856,5,0.3244483470916748,0.23279955983161926
2,17,856,10,2.0469915866851807,2.767063856124878
2,17,856,20,12.942716598510742,29.74530601501465
2,17,856,40,60.86225891113281,188.25753784179688
2,18,942,5,0.28327468037605286,0.20252057909965515
2,18,942,10,1.912233829498291,2.7628302574157715
2,18,942,20,12.040726661682129,33.62368392944336
2,18,942,40,50.24763488769531,201.3029327392578
2,19,1032,5,0.27372807264328003,0.18914049863815308
2,19,1032,10,1.865877628326416,2.760763645172119
2,19,1032,20,11.96786880493164,33.55000686645508
2,19,1032,40,54.74687576293945,201.78717041015625
2,20,1126,5,0.2543390691280365,0.17829836905002594
2,20,1126,10,1.8794440031051636,2.7407476902008057
2,20,1126,20,13.657049179077148,35.43396759033203
2,20,1126,40,65.27589416503906,216.0204620361328
2,21,1224,5,0.21483944356441498,0.14936156570911407
2,21,1224,10,1.4438518285751343,2.2363758087158203
2,21,1224,20,8.928445816040039,29.32211685180664
2,21,1224,40,38.884918212890625,187.20663452148438
2,22,1326,5,0.185283362865448,0.11904969066381454
2,22,1326,10,1.260562539100647,1.9511433839797974
2,22,1326,20,8.862264633178711,27.106287002563477
2,22,1326,40,41.49285888671875,177.21295166015625
2,23,1432,5,0.1856643706560135,0.12485260516405106
2,23,1432,10,1.2978378534317017,2.097189426422119
